Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ff0b109620c96d1c963280,60d48f03016a93428e089fdd,APPROVED,2023-09-11T12:42:53.841000Z,2023-09-11T12:48:46.592000Z,2023-09-11T12:48:47.287000,2023-09-11T12:48:47.203436Z,353,C13E0WG5,160,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ff0b18c45ebaf7f0811bdf,61406ea90cf37a9aebf6b585,APPROVED,2023-09-11T12:42:05.942000Z,2023-09-11T13:07:47.195000Z,2023-09-11T13:07:47.863000,2023-09-11T13:07:47.799185Z,1542,C13E0WG5,147,37,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
64ff0b1aca5054241dec8915,5f973544373a810cfca320f7,APPROVED,2023-09-11T12:42:02.521000Z,2023-09-11T12:52:18.464000Z,2023-09-11T12:52:19.016000,2023-09-11T12:52:18.946875Z,616,C13E0WG5,110,22,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
64ff0b1f32d872079d813cdb,6113e1b88d188e349587ca57,APPROVED,2023-09-11T12:42:13.177000Z,2023-09-11T13:01:39.115000Z,2023-09-11T13:01:39.744000,2023-09-11T13:01:39.645160Z,1166,C13E0WG5,216,22,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
64ff0b23ce89fd552c3e01a1,60ec0b638c0357cc5aaa7ef9,APPROVED,2023-09-11T12:42:23.006000Z,2023-09-11T12:55:06.705000Z,2023-09-11T12:55:07.391000,2023-09-11T12:55:07.320230Z,764,C13E0WG5,29,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64ff0b279bdcdf98af4f29a6,5cc84366e11d6b001800cc3c,APPROVED,2023-09-11T12:42:15.960000Z,2023-09-11T12:49:35.505000Z,2023-09-11T12:49:36.069000,2023-09-11T12:49:35.994385Z,440,C13E0WG5,369,24,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,Yes,Other
64ff0b28b4651dcc31ffb6b9,5f84a8fac99e281425c14cc0,APPROVED,2023-09-11T12:42:16.300000Z,2023-09-11T12:50:12.262000Z,2023-09-11T12:50:12.926000,2023-09-11T12:50:12.847458Z,476,C13E0WG5,312,21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
64ff0b2b0e0f87454406500a,61453102f1a4a04ad2d84ddb,APPROVED,2023-09-11T12:42:26.485000Z,2023-09-11T13:06:22.165000Z,2023-09-11T13:06:22.869000,2023-09-11T13:06:22.811869Z,1436,C13E0WG5,126,26,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64ff0b2f5996f3a98445a321,611d915e0221f79080da2884,APPROVED,2023-09-11T12:44:39.927000Z,2023-09-11T13:22:00.570000Z,2023-09-11T13:22:01.245000,2023-09-11T13:22:01.166044Z,2241,C13E0WG5,292,24,Female,Black,United States,South Africa,South Africa,English,No,Full-Time
64ff0b2f837a09a167f48e5d,6018104f6a788baf8df05e3f,APPROVED,2023-09-11T12:42:32.190000Z,2023-09-11T12:57:02.760000Z,2023-09-11T12:57:03.495000,2023-09-11T12:57:03.427151Z,871,C13E0WG5,13,21,Male,Mixed,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
64ff0b306ab4ace919b4fd5b,600ef6eb3bed2d01e87ea82e,APPROVED,2023-09-11T12:42:24.974000Z,2023-09-11T12:52:42.443000Z,2023-09-11T12:52:43.049000,2023-09-11T12:52:42.976595Z,618,C13E0WG5,65,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Other
64ff0b32159eecd8e89388bd,5f9aeb04901ce62720fc6838,APPROVED,2023-09-11T12:43:56.148000Z,2023-09-11T12:51:08.077000Z,2023-09-11T12:51:08.760000,2023-09-11T12:51:08.679849Z,432,C13E0WG5,209,22,Female,White,South Africa,South Africa,South Africa,Afrikaans,Yes,Other
64ff0b368fa75660f54c4085,611f6757f935f97babc092c5,APPROVED,2023-09-11T12:42:48.783000Z,2023-09-11T12:58:47.328000Z,2023-09-11T12:58:47.933000,2023-09-11T12:58:47.867990Z,959,C13E0WG5,555,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
